ID,source,Location,Accession_Number,Strain,Country,State,Municipality,latitude,longitude,Host_species,date
New_NHP|2754|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-26,This_study,SaoPaulo_PEAL,New_NHP,74453,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-23
New_NHP|2786|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-23,This_study,SaoPaulo_PEAL,New_NHP,2786,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-23
New_NHP|2877|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-27,This_study,SaoPaulo_PEAL,New_NHP,2877,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-27
New_NHP|74213|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-15,This_study,SaoPaulo_PEAL,New_NHP,74213,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-15
New_NHP|74300|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-18,This_study,SaoPaulo_PEAL,New_NHP,74300,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-18
New_NHP|74301|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-19,This_study,SaoPaulo_PEAL,New_NHP,74301,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-19
New_NHP|74327|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20,This_study,SaoPaulo_PEAL,New_NHP,74327,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-20
New_NHP|74329|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20,This_study,SaoPaulo_PEAL,New_NHP,74329,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-20
New_NHP|74347|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21,This_study,SaoPaulo_PEAL,New_NHP,74347,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-21
New_NHP|74348|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21,This_study,SaoPaulo_PEAL,New_NHP,74348,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-21
New_NHP|74405|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-22,This_study,SaoPaulo_PEAL,New_NHP,74405,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-22
New_NHP|74417|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24,This_study,SaoPaulo_PEAL,New_NHP,74417,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-24
New_NHP|74418|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24,This_study,SaoPaulo_PEAL,New_NHP,74418,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-24
New_NHP|74419|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-24,This_study,SaoPaulo_PEAL,New_NHP,74419,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-24
New_NHP|74427|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-25,This_study,SaoPaulo_PEAL,New_NHP,74427,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-25
New_NHP|74454|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-23,This_study,SaoPaulo_PEAL,New_NHP,74454,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-23
New_NHP|74456|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-26,This_study,SaoPaulo_PEAL,New_NHP,74456,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-26
New_NHP|74513|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-27,This_study,SaoPaulo_PEAL,New_NHP,74513,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-27
New_NHP|74631|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-28,This_study,SaoPaulo_PEAL,New_NHP,74631,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-28
New_NHP|74632|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-10-29,This_study,SaoPaulo_PEAL,New_NHP,74632,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-10-29
New_NHP|74647|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-31,This_study,SaoPaulo_PEAL,New_NHP,74647,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-31
New_NHP|74649|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-31,This_study,SaoPaulo_PEAL,New_NHP,74649,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-31
New_NHP|74786|Brazil|SP|SaoPaulo_PEAL|Alouatta|2018-01-03,This_study,SaoPaulo_PEAL,New_NHP,74786,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2018-01-03
New_NHP|74787|Brazil|SP|SaoPaulo_PEAL|Alouatta|2018-01-03,This_study,SaoPaulo_PEAL,New_NHP,74787,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2018-01-03
