ID,source,Location,Accession_Number,Strain,Country,State,Municipality,latitude,longitude,Host_species,date
New_NHP|2681|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-11,This_study,SaoPaulo_PEAL,New_NHP,2681,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-11
New_NHP|2682|Brazil|SP|SaoPaulo_PEAL_border|Alouatta|2017-12-11,This_study,New_Other,New_NHP,2682,Brazil,SP,Sao_Paulo,-23.4533649,-46.6709301,Alouatta guariba clamitans,2017-12-11
New_NHP|2683|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-15,This_study,New_Other,New_NHP,2683,Brazil,SP,Sao_Paulo,-23.4461714,-46.6176563,Alouatta guariba clamitans,2017-12-15
New_NHP|2684|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-16,This_study,SaoPaulo_PEAL,New_NHP,2684,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-16
New_NHP|2688|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-17,This_study,SaoPaulo_PEAL,New_NHP,2688,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-17
New_NHP|2691|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-08,This_study,New_Other,New_NHP,2691,Brazil,SP,Sao_Paulo,-23.4480980,-46.6199025,Alouatta guariba clamitans,2017-12-08
New_NHP|2694|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-19,This_study,SaoPaulo_PEAL,New_NHP,2694,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-19
New_NHP|2701|Brazil|SP|SaoPaulo_North|Alouatta|2017-12-07,This_study,New_Other,New_NHP,2701,Brazil,SP,Sao_Paulo,-23.4520161,-46.6192767,Alouatta guariba clamitans,2017-12-07
New_NHP|2702|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-12,This_study,SaoPaulo_PEAL,New_NHP,2702,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-12
New_NHP|2707|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-12,This_study,SaoPaulo_PEAL,New_NHP,2707,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-12
New_NHP|2708|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-11,This_study,SaoPaulo_PEAL,New_NHP,2708,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-11
New_NHP|2710|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-14,This_study,SaoPaulo_PEAL,New_NHP,2710,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-14
New_NHP|2725|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21,This_study,SaoPaulo_PEAL,New_NHP,2725,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-21
New_NHP|2728|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-21,This_study,SaoPaulo_PEAL,New_NHP,2728,Brazil,SP,Sao_Paulo,-23.4542863,-46.6360281,Alouatta guariba clamitans,2017-12-21
New_NHP|2731|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-20,This_study,SaoPaulo_PEAL,New_NHP,2731,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-20
New_NHP|2742|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-22,This_study,SaoPaulo_PEAL,New_NHP,2742,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-22
New_NHP|2743|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-22,This_study,SaoPaulo_PEAL,New_NHP,74404,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-22
New_NHP|2754|Brazil|SP|SaoPaulo_PEAL|Alouatta|2017-12-26,This_study,SaoPaulo_PEAL,New_NHP,74453,Brazil,SP,Sao_Paulo,-23.4598158,-46.6361394,Alouatta guariba clamitans,2017-12-23
New_NHP|2776|Brazil|SP|SaoPaulo_borderPEAL_PM|Alouatta|2017-12-31,This_study,New_Other,New_NHP,2776,Brazil,SP,Sao_Paulo,-23.4691167,-46.6188037,Alouatta guariba clamitans,2017-12-31
New_NHP|2777|Brazil|SP|SaoPaulo_borderPEAL_PM|Alouatta|2017-12-29,This_study,New_Other,New_NHP,2777,Brazil,SP,Sao_Paulo,-23.4723139,-46.6182287,Alouatta guariba clamitans,2017-12-29
New_NHP|2778|Brazil|SP|SaoPaulo_borderPEAL|Alouatta|2017-12-29,This_study,New_Other,New_NHP,2778,Brazil,SP,Sao_Paulo,-23.4587042,-46.6304206,Alouatta guariba clamitans,2017-12-29
New_NHP|2782|Brazil|SP|SaoPaulo_borderPEAL_PM|Alouatta|2017-12-27,This_study,New_Other,New_NHP,2782,Brazil,SP,Sao_Paulo,-23.4691167,-46.6188037,Alouatta guariba clamitans,2017-12-27
